label,auc
Atelectasis,0.952922077922078
Cardiomegaly,0.9445428773919207
Consolidation,0.9494949494949495
Edema,0.9617871840094062
Enlarged Cardiomediastinum,0.969908256880734
Fracture,
Lung Lesion,0.9227467811158798
Lung Opacity,0.9683274544385655
Pleural Effusion,0.9567432299579944
Pleural Other,0.9957081545064378
Pneumonia,0.974004424778761
Pneumothorax,0.9668141592920354
Support Devices,0.9356832732357053
